worker_id,sex,social_group,age,years_education,experience,rural_urban,state,activity_status,sector,formality,monthly_wage,survey_weight,log_wage,female,informal,urban,group_OBC,group_SC,group_ST,sector_Industry,sector_Services
W00001,Female,General,16,4.0,6,Urban,Kerala,Outside_LF,NA,NA,0.0,0.8642,,1,0,1,0,0,0,0,0
W00002,Male,OBC,51,8.0,37,Rural,Tamil Nadu,Employed,Agriculture,Informal,9383.0,1.4983,9.146654820290049,0,1,0,1,0,0,0,0
W00003,Female,SC,25,1.0,18,Rural,Odisha,Outside_LF,NA,NA,0.0,1.0357,,1,0,0,0,1,0,0,0
W00004,Female,General,50,15.0,29,Urban,Punjab,Outside_LF,NA,NA,0.0,1.0075,,1,0,1,0,0,0,0,0
W00005,Male,General,43,12.0,25,Rural,Uttar Pradesh,Employed,Agriculture,Informal,16418.0,1.3177,9.706133572908211,0,1,0,0,0,0,0,0
W00006,Female,OBC,25,8.0,11,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.3008,,1,0,0,1,0,0,0,0
W00007,Female,SC,38,6.0,26,Urban,Jharkhand,Outside_LF,NA,NA,0.0,1.0455,,1,0,1,0,1,0,0,0
W00008,Female,OBC,16,9.0,1,Rural,Gujarat,Outside_LF,NA,NA,0.0,1.3036,,1,0,0,1,0,0,0,0
W00009,Male,OBC,50,12.0,32,Urban,Andhra Pradesh,Employed,Industry,Informal,31655.0,0.9846,10.362651392978227,0,1,1,1,0,0,1,0
W00010,Male,OBC,30,5.0,19,Urban,Rajasthan,Employed,Services,Informal,19617.0,1.0808,9.884151816229386,0,1,1,1,0,0,0,1
W00011,Male,General,34,15.0,13,Rural,Kerala,Employed,Agriculture,Informal,21606.0,1.1096,9.98072633287693,0,1,0,0,0,0,0,0
W00012,Female,OBC,22,11.0,5,Rural,Andhra Pradesh,Outside_LF,NA,NA,0.0,1.275,,1,0,0,1,0,0,0,0
W00013,Female,General,33,9.0,18,Rural,West Bengal,Outside_LF,NA,NA,0.0,1.3618,,1,0,0,0,0,0,0,0
W00014,Female,OBC,34,7.0,21,Urban,Andhra Pradesh,Outside_LF,NA,NA,0.0,0.8758,,1,0,1,1,0,0,0,0
W00015,Male,General,26,3.0,17,Rural,Uttar Pradesh,Employed,Services,Formal,11679.0,1.1254,9.365547636278565,0,0,0,0,0,0,0,1
W00016,Male,General,63,8.0,49,Urban,West Bengal,Employed,Industry,Informal,12936.0,0.8114,9.467769401256943,0,1,1,0,0,0,1,0
W00017,Female,OBC,28,9.0,13,Rural,West Bengal,Outside_LF,NA,NA,0.0,1.1461,,1,0,0,1,0,0,0,0
W00018,Male,OBC,24,13.0,5,Rural,Telangana,Employed,Industry,Informal,10797.0,1.3397,9.28702359674714,0,1,0,1,0,0,1,0
W00019,Female,OBC,42,10.0,26,Rural,Telangana,Outside_LF,NA,NA,0.0,1.3152,,1,0,0,1,0,0,0,0
W00020,Female,OBC,30,7.0,17,Rural,Maharashtra,Outside_LF,NA,NA,0.0,1.1024,,1,0,0,1,0,0,0,0
W00021,Female,SC,37,11.0,20,Rural,Jharkhand,Employed,Agriculture,Informal,11765.0,1.2558,9.372884301161463,1,1,0,0,1,0,0,0
W00022,Male,SC,51,10.0,35,Rural,Kerala,Unemployed,NA,NA,0.0,1.1226,,0,0,0,0,1,0,0,0
W00023,Female,SC,18,4.0,8,Urban,Tamil Nadu,Outside_LF,NA,NA,0.0,1.102,,1,0,1,0,1,0,0,0
W00024,Female,OBC,40,14.0,20,Rural,West Bengal,Outside_LF,NA,NA,0.0,1.3676,,1,0,0,1,0,0,0,0
W00025,Female,OBC,16,4.0,6,Urban,Tamil Nadu,Outside_LF,NA,NA,0.0,0.8274,,1,0,1,1,0,0,0,0
W00026,Male,OBC,17,5.0,6,Rural,Gujarat,Employed,Agriculture,Informal,8046.0,1.1591,8.992930352509733,0,1,0,1,0,0,0,0
W00027,Male,OBC,19,8.0,5,Urban,Andhra Pradesh,Employed,Agriculture,Informal,11597.0,1.0721,9.358501722956703,0,1,1,1,0,0,0,0
W00028,Male,OBC,23,7.0,10,Rural,Rajasthan,Outside_LF,NA,NA,0.0,1.2874,,0,0,0,1,0,0,0,0
W00029,Male,OBC,32,8.0,18,Urban,Maharashtra,Outside_LF,NA,NA,0.0,0.8931,,0,0,1,1,0,0,0,0
W00030,Female,General,61,12.0,43,Rural,Andhra Pradesh,Outside_LF,NA,NA,0.0,1.3072,,1,0,0,0,0,0,0,0
W00031,Female,General,60,9.0,45,Rural,Odisha,Outside_LF,NA,NA,0.0,1.207,,1,0,0,0,0,0,0,0
W00032,Female,SC,20,5.0,9,Rural,Madhya Pradesh,Employed,Industry,Formal,9746.0,1.4575,9.184612223403452,1,0,0,0,1,0,1,0
